Comment,Designator,Footprint,LCSC
100n,"C1,C10,C11,C15,C16,C18,C2,C22,C4,C5,C7,C8",C_0603_1608Metric,C14663
100K,R7,R_0805_2012Metric,C149504
PMOS,Q4,SOT-23,C15127
1u,C23,C_0603_1608Metric,C15849
10u,"C12,C13,C17,C19,C20,C3,C6,C9",C_0805_2012Metric,C15850
10k,R10,R_0805_2012Metric,C17414
470k,"R3,R5,R8",R_0805_2012Metric,C17709
51k,R6,R_0603_1608Metric,C23196
56.2k,R9,R_0603_1608Metric,C23206
DRV8212P,"U1,U2,U3,U4",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,C2843766
22u,"C14,C24",C_0805_2012Metric,C45783
LMR51420YFDDCR,PS1,SOT95P280X110-6N,C5383002
AMS1117-3.3,U8,SOT-223-3_TabPin2,C6186
TPS563200,U7,SOT-23-6,C97253
